内内-希拉里奥 体重 113kg
内内-希拉里奥 年龄 36
内内-希拉里奥 生涯 0年
内内-希拉里奥 球员主页 http://nba.sports.163.com//player/1000000503/
埃里克-戈登 号码 10
埃里克-戈登 位置 得分后卫
埃里克-戈登 身高 1.93m
埃里克-戈登 体重 97kg
埃里克-戈登 年龄 29
埃里克-戈登 生涯 0年
埃里克-戈登 毕业大学 Indiana
埃里克-戈登 球员主页 http://nba.sports.163.com//player/1000000505/
杰拉德-格林 号码 14
杰拉德-格林 位置 得分后卫
杰拉德-格林 身高 2.01m
杰拉德-格林 体重 92kg
杰拉德-格林 年龄 32
杰拉德-格林 生涯 0年
杰拉德-格林 球员主页 http://nba.sports.163.com//player/1000000572/
罗布-格雷 号码 32
罗布-格雷 位置 得分后卫
罗布-格雷 身高 1.85m
罗布-格雷 体重 83kg
罗布-格雷 年龄 24
罗布-格雷 生涯 0年
罗布-格雷 毕业大学 Houston
罗布-格雷 球员主页 http://nba.sports.163.com//player/1000000698/
文森特-爱德华兹 号码 12
文森特-爱德华兹 位置 小前锋
文森特-爱德华兹 身高 2.03m
文森特-爱德华兹 体重 102kg
文森特-爱德华兹 年龄 22
文森特-爱德华兹 生涯 0年
文森特-爱德华兹 毕业大学 Purdue
文森特-爱德华兹 球员主页 http://nba.sports.163.com//player/1000000699/
加雷-克拉克 号码 6
加雷-克拉克 位置 大前锋
加雷-克拉克 身高 2.03m
加雷-克拉克 体重 102kg
加雷-克拉克 年龄 24
加雷-克拉克 生涯 0年
加雷-克拉克 毕业大学 Cincinnati
加雷-克拉克 球员主页 http://nba.sports.163.com//player/1000000777/
布兰登-桑普森 号码 16
布兰登-桑普森 位置 未知
布兰登-桑普森 身高 1.96m
布兰登-桑普森 体重 83kg
布兰登-桑普森 年龄 21
布兰登-桑普森 生涯 0年
布兰登-桑普森 毕业大学 LSU
布兰登-桑普森 球员主页 http://nba.sports.163.com//player/1000000814/
蒂姆-邦德 号码 19
蒂姆-邦德 位置 未知
蒂姆-邦德 身高 1.98m
蒂姆-邦德 体重 77kg
蒂姆-邦德 年龄 23
蒂姆-邦德 生涯 0年
蒂姆-邦德 球员主页 http://nba.sports.163.com//player/1000000822/
阿卜杜勒-纳迪尔 号码 11
阿卜杜勒-纳迪尔 位置 小前锋
阿卜杜勒-纳迪尔 身高 1.98m
阿卜杜勒-纳迪尔 体重 102kg
阿卜杜勒-纳迪尔 年龄 25
阿卜杜勒-纳迪尔 生涯 0年
阿卜杜勒-纳迪尔 毕业大学 Iowa
阿卜杜勒-纳迪尔 球员主页 State
蒂莫泰-卢瓦乌-卡巴罗 号码 7
蒂莫泰-卢瓦乌-卡巴罗 位置 得分后卫
蒂莫泰-卢瓦乌-卡巴罗 身高 1.98m
蒂莫泰-卢瓦乌-卡巴罗 体重 95kg
蒂莫泰-卢瓦乌-卡巴罗 年龄 23
蒂莫泰-卢瓦乌-卡巴罗 生涯 0年
蒂莫泰-卢瓦乌-卡巴罗 球员主页 http://nba.sports.163.com//player/1000000128/
丹尼斯-施罗德 号码 17
丹尼斯-施罗德 位置 控球后卫
丹尼斯-施罗德 身高 1.85m
丹尼斯-施罗德 体重 78kg
丹尼斯-施罗德 年龄 25
